produit,code-barres,prix,marque,stock,sku,categorie,sous_categorie,marque_a_confirmer,prix_a_confirmer
SHIELD VASELINE 100ML,000032848,2130.00,Shield,2.00,THIAALA-000387,Soins du corps,Baumes corps,,
WILLIAMS GEL A RASER 3JOURS 200ML,000030941,6200.00,Williams,3.00,THIAALA-000388,Rasage & dépilation,,,
VALDA LAIT ADOUC BEURRE DE KARITE 250ML,000021623,1650.00,Valda,1.00,THIAALA-000389,Soins du corps,Laits & crèmes corps,,
IAP EDP NX23 FL/150ML BURBERRY PARFUM,000031517,13000.00,IAP (parfums génériques),3.00,THIAALA-000390,Parfumerie,,,
IAP EDP N°52 FL30ML FRASCO,000033019,4000.00,IAP (parfums génériques),4.00,THIAALA-000391,Parfumerie,,,
PARIS CHIC EDP 100ML,000031348,7259.00,(générique parfum),1.00,THIAALA-000392,Parfumerie,,,
IAP EDP N° 57 FL30ML FRASCO,000033018,4000.00,IAP (parfums génériques),4.00,THIAALA-000393,Parfumerie,,,
IAP EDP N°75 FL30ML FRASCO,000033020,4000.00,IAP (parfums génériques),3.00,THIAALA-000394,Parfumerie,,,
IAP EDP N)76 FL30ML FRASCO,000033017,4000.00,IAP (parfums génériques),3.00,THIAALA-000395,Parfumerie,,,
IAP EDP N°32 + FL30ML FRASCO,000033026,4000.00,IAP (parfums génériques),5.00,THIAALA-000396,Parfumerie,,,
IAP EDP MINI N°40 BLACK OPIUM 50ML,000033028,6400.00,IAP (parfums génériques),3.00,THIAALA-000397,Parfumerie,,,
SAPHIR DORIENT EDP 50ML,000031355,8500.00,Saphir d'Orient,1.00,THIAALA-000398,Parfumerie,,,
UDV EAU DE PARFUM VARENSIA WHITE 50ML,000031369,8167.00,UDV,1.00,THIAALA-000399,Parfumerie,,,
BRUMES EXOTIQUES ORIENT - 250ML,000032568,7500.00,Brumes Exotiques,5.00,THIAALA-000400,Parfumerie,,,
BRUMES EXOTIQUES TAHITI,000032569,7500.00,Brumes Exotiques,3.00,THIAALA-000401,Parfumerie,,,
BRUMES EXOTIQUES PROVENCE,000032570,7500.00,Brumes Exotiques,9.00,THIAALA-000402,Parfumerie,,,
UDV EAU DE TOILETTE ORIENT ELIXIR 60ML,000031381,6500.00,UDV,1.00,THIAALA-000403,Parfumerie,,,
DOVE DEO GO FRESH CONCOMBRE/250ML,000026944,2300.00,Dove,4.00,THIAALA-000404,Déodorants,,,
DOVE DEO ROLL ON ORIGINAL/50ML,000026952,1670.00,Dove,10.00,THIAALA-000405,Déodorants,,,
DOVE DEO ORIGINAL/250ML,000026955,2729.00,Dove,6.00,THIAALA-000406,Déodorants,,,
BIEN ETRE LAVANDE FL/250ML,000033135,8950.00,Bien Etre,1.00,THIAALA-000407,Parfumerie,Eaux de parfum / toilette,,
ETIAXIL DETRANSPIRANT PEAUX SENS 15ML,000027157,11818.00,Etiaxil,1.00,THIAALA-000408,Parfumerie,Eaux de parfum / toilette,,
202 TERRE D'HERMES 50ML,000032787,4500.00,(générique parfum),4.00,THIAALA-000409,Parfumerie,Eaux de parfum / toilette,,
101 COCO MADAME 50ML,000032784,4500.00,(générique parfum),1.00,THIAALA-000410,Parfumerie,Eaux de parfum / toilette,,
102 LA VIE EST BELLE MAYANA 50ML,000032785,4500.00,Mayana,3.00,THIAALA-000411,Parfumerie,Eaux de parfum / toilette,,
103 BLACK OPIUM MAYANA 50ML,000032786,4500.00,Mayana,1.00,THIAALA-000412,Parfumerie,Eaux de parfum / toilette,,
OUD ISPAHAN MAYANA 50ML,000032794,4500.00,Mayana,3.00,THIAALA-000413,Parfumerie,Eaux de parfum / toilette,,
BRUME DAKAR MAYANA 150ML,000032789,1700.00,Mayana,5.00,THIAALA-000414,Parfumerie,,,
BRUME KAOLACK MAYANA 150ML,000032790,1700.00,Mayana,5.00,THIAALA-000415,Parfumerie,,,
BRUME THIES MAYANA 150ML,000032792,1700.00,Mayana,5.00,THIAALA-000416,Parfumerie,,,
BRUME SAINT LOUIS MAYANA 150ML,000032791,1700.00,Mayana,5.00,THIAALA-000417,Parfumerie,,,
BRUME ZIGUINCHOR MAYANA 150ML,000032793,1700.00,Mayana,5.00,THIAALA-000418,Parfumerie,,,
COTTON MUSK ORI EDP 100ML,000031263,10800.00,(générique parfum),2.00,THIAALA-000419,Parfumerie,,,
IAP EDP (D) Nø11 BE DELICIOUS 150ML,000027891,13772.00,IAP (parfums génériques),1.00,THIAALA-000420,Parfumerie,,,
MAYANA 204 ONE M PR 50ML,000031440,4500.00,Mayana,6.00,THIAALA-000421,Parfumerie,Eaux de parfum / toilette,,
IAP EDP (D) Nø15 NARCIS R. (MINI) 50ML,000027892,6400.00,IAP (parfums génériques),3.00,THIAALA-000422,Parfumerie,,,
IAP EDP (D) Nø16 COCO CHANNEL (MINI) 50ML,000027893,6400.00,IAP (parfums génériques),3.00,THIAALA-000423,Parfumerie,,,
NIVEA DEO ROLL DRY IMPACT 50ML,000028969,2300.00,Nivea,6.00,THIAALA-000424,Déodorants,,,
NIVEA DEO ROLL DEEP DARKWOOD 72H 50ML,000028971,2300.00,Nivea,6.00,THIAALA-000425,Déodorants,,,
NIVEA DEO ROLL FRESH NATUREL 48H 50ML,000028972,2300.00,Nivea,6.00,THIAALA-000426,Déodorants,,,
IAP EDP (D) Nø30 LA VIE EST BELLE (MINI) 50ML,000021128,6400.00,IAP (parfums génériques),3.00,THIAALA-000427,Parfumerie,,,
IAP EDP (D) NØ30 LA VIE EST BELLE 150ML,000027902,13771.00,IAP (parfums génériques),1.00,THIAALA-000428,Parfumerie,,,
NIVEA DEO BILLE BLACK/WHITE 50ML,000028975,2300.00,Nivea,6.00,THIAALA-000429,Déodorants,,,
IAP EDP (D) Nø32 OLYMPEA (MINI) 50ML,000024120,6400.00,IAP (parfums génériques),5.00,THIAALA-000430,Parfumerie,,,
MKL DEO BIO ALOE VERA 50ML,000023718,4571.00,MKL,1.00,THIAALA-000431,Déodorants,,,
IAP COFFRET PURE FLEUR,000020530,15500.00,IAP (parfums génériques),1.00,THIAALA-000432,Parfumerie,,,
IAP EDP (D) NØ51 HUGO BOSS 150ML,000027912,13450.00,IAP (parfums génériques),1.00,THIAALA-000433,Parfumerie,,,
IAP EDP (D) NØ55 AQUA DI GIO (MINI)50ML,000027915,6400.00,IAP (parfums génériques),1.00,THIAALA-000434,Parfumerie,,,
NIVEA DEO ROLL WOM FRESH ENERGY/50ML,000028989,2300.00,Nivea,6.00,THIAALA-000435,Déodorants,,,
IAP EDP N 19FL 150ML CHLOE,000031296,13771.00,IAP (parfums génériques),1.00,THIAALA-000436,Parfumerie,,,
NIVEA DEO ROLL WOM PEARL & BEAUTY 50ML,000028993,2300.00,Nivea,6.00,THIAALA-000437,Déodorants,,,
IAP EDP N°22 FL150MLFLOWER BY KENZO,000031298,12597.00,IAP (parfums génériques),1.00,THIAALA-000438,Parfumerie,,,
IAP KIDS PARF ENF MIXTE FL/100ML,000031300,7100.00,IAP (parfums génériques),6.00,THIAALA-000439,Parfumerie,Eaux de parfum / toilette,,
IAP EDP (D) Nø69 ONE MILION (MINI) 50ML,000024204,6400.00,IAP (parfums génériques),1.00,THIAALA-000440,Parfumerie,,,
IAP EDP N°15 FL30ML FRASCO,000032931,4000.00,IAP (parfums génériques),2.00,THIAALA-000441,Parfumerie,,,
IAP EDP N°16 FL30L FRASCO,000032932,4000.00,IAP (parfums génériques),5.00,THIAALA-000442,Parfumerie,,,
IAP EDP N°30 FL30ML FRASCO,000032933,4000.00,IAP (parfums génériques),7.00,THIAALA-000443,Parfumerie,,,
IAP EDP N°40 FL30ML FRASCO,000032934,4000.00,IAP (parfums génériques),4.00,THIAALA-000444,Parfumerie,,,
IAP EDP N° 48 FL30ML FRASCO,000032935,4000.00,IAP (parfums génériques),6.00,THIAALA-000445,Parfumerie,,,
IAP EDP N°51 FL30ML FRASCO,000032936,4000.00,IAP (parfums génériques),8.00,THIAALA-000446,Parfumerie,,,
IAP EDP N°55 FL30ML FRASCO,000032937,4000.00,IAP (parfums génériques),3.00,THIAALA-000447,Parfumerie,,,
IAP EDP N°66 FL30ML FRASCO,000032938,4000.00,IAP (parfums génériques),4.00,THIAALA-000448,Parfumerie,,,
IAP EDP N°69 FL30ML FRASCO,000032939,4000.00,IAP (parfums génériques),3.00,THIAALA-000449,Parfumerie,,,
IAP EDP N°71 FL30ML FRASCO,000032940,4000.00,IAP (parfums génériques),1.00,THIAALA-000450,Parfumerie,,,
DEODORANT BALEA VRAC 200ML,000025909,2000.00,Balea,7.00,THIAALA-000451,Déodorants,,,
BIEN ETRE ESSENCE FRAICH/250ML,000033134,8950.00,Bien Etre,1.00,THIAALA-000452,Parfumerie,Eaux de parfum / toilette,,
PARFUM BABY COLOGNE,000031162,1650.00,Autre,1.00,THIAALA-000453,Bébé & maternité,,NON,
